Workload_Name,Category,Aspect,M,N,K,Strategy,L3_Size_MB,Overfetch_Total,Overfetch_A,Overfetch_B,Overfetch_C,L3_Hit_Rate,L3_Utilization,DRAM_Reads_MB,Num_Evictions,Tensor_A_MB,Tensor_B_MB,Tensor_C_MB,Total_Tensor_MB
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,64,0.235966,1.125,0.214126,0.2879,0.971581,0.726578,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,256,0.235966,1.125,0.214126,0.2879,0.971581,0.181644,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,WS,1024,0.235966,1.125,0.214126,0.2879,0.971581,0.0454111,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,1,1.03224,1.125,1.00062,1.12569,0.878931,1,203,8114,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,2,1.03224,1.125,1.00062,1.12569,0.878931,1,203,8078,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,4,1.03224,1.125,1.00062,1.12569,0.878931,1,203,8005,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,16,0.283281,1.125,0.277454,0.2879,0.966518,1,55,1659,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,64,0.235966,1.125,0.214126,0.2879,0.971581,0.726578,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,256,0.235966,1.125,0.214126,0.2879,0.971581,0.181644,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,IS,1024,0.235966,1.125,0.214126,0.2879,0.971581,0.0454111,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,1,4.7668,1.125,5.99906,1.12569,0.479302,0.999023,939,35026,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,2,4.7668,1.125,5.99906,1.12569,0.479302,0.999023,939,34988,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,4,4.7668,1.125,5.99906,1.12569,0.479302,1,939,34914,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,16,4.7668,1.125,5.99906,1.12569,0.479302,0.999878,939,34466,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,64,0.235966,1.125,0.214126,0.2879,0.971581,0.726578,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,256,0.235966,1.125,0.214126,0.2879,0.971581,0.181644,46,0,0,147,49,196
Wide: Hidden→Vocab,Projection,Wide,256,50257,768,OS,1024,0.235966,1.125,0.214126,0.2879,0.971581,0.0454111,46,0,0,147,49,196
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,1,7.6557,1.03125,11.0018,1.03141,0.484306,0.996094,4501,167130,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,2,7.6557,1.03125,11.0018,1.03141,0.484306,0.999512,4501,167094,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,4,7.6557,1.03125,11.0018,1.03141,0.484306,0.998779,4501,167021,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,16,7.6557,1.03125,11.0018,1.03141,0.484306,0.999939,4501,166582,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,64,0.137579,1.03125,0.12971,0.144165,0.989505,1,80,807,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,256,0.137579,1.03125,0.12971,0.144165,0.989505,0.315968,80,0,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,WS,1024,0.137579,1.03125,0.12971,0.144165,0.989505,0.0789919,80,0,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,1,1.01065,1.03125,1.00016,1.03141,0.925077,1,594,24245,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,2,1.01065,1.03125,1.00016,1.03141,0.925077,1,594,24208,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,4,1.01065,1.03125,1.00016,1.03141,0.925077,1,594,24135,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,16,0.715905,1.03125,1.00016,0.144165,0.951144,1,420,15246,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,64,0.137579,1.03125,0.12971,0.144165,0.989505,1,80,803,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,256,0.137579,1.03125,0.12971,0.144165,0.989505,0.315968,80,0,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,IS,1024,0.137579,1.03125,0.12971,0.144165,0.989505,0.0789919,80,0,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,1,7.6557,1.03125,11.0018,1.03141,0.484306,0.998047,4501,167122,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,2,7.6557,1.03125,11.0018,1.03141,0.484306,1,4501,167084,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,4,7.6557,1.03125,11.0018,1.03141,0.484306,1,4501,167010,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,16,7.6557,1.03125,11.0018,1.03141,0.484306,0.999939,4501,166565,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,64,0.615564,1.03125,0.40551,1.03141,0.951283,0.999954,361,13247,2,390,195,587
Wide: Embedding Lookup,Embedding,Wide,512,100000,1024,OS,256,0.137579,1.03125,0.12971,0.144165,0.989505,0.315968,80,0,2,390,195,587
